title,pageid,length,
Magic_pushbutton,434752,6281,
Daniel_Glazman,435809,2746,
Chef_(programming_language),436800,151,
Portland_Pattern_Repository,452042,2735,
Andy_Hertzfeld,453275,8840,
Object_model_reference,453852,701,
Duff's_device,456753,14085,
C_syntax,456820,70723,
Abstraction_inversion,467011,4812,
Marker_interface_pattern,471373,3542,
Runtime_library,473238,3630,
Program_derivation,474691,3041,
Race_condition,475952,19032,
ChucK,478750,10966,
Loader_(computing),483773,10417,
Pei-Yuan_Wei,497192,3353,
Program_synthesis,498152,11752,
HAKMEM,505526,4071,
Groovy_(programming_language),508401,31808,
Cruft,519030,6088,
ActionScript,519691,39031,
ACM_International_Collegiate_Programming_Contest,520121,31503,
"National_Olympiad_in_Informatics,_China",521381,4218,
Flowchart,527453,18950,
Code_review,528249,12362,
SWIG,531490,7354,
TopCoder,532303,6805,
Cohesion_(computer_science),542168,8373,
PL/M,543057,7470,
Processing_(programming_language),546083,19458,
The_Art_of_Unix_Programming,546183,2954,
Indirect_branch,548606,3939,
Metalinguistic_abstraction,549371,2330,
Haiku_(operating_system),554281,13907,
Hong_Kong_Olympiad_in_Informatics,556512,7745,
Cleve_Moler,562706,6405,
OpenAL,563960,16454,
Delimiter,564276,23808,
Ccache,568114,1773,
Program_slicing,569460,7762,
Position-independent_code,571303,16324,
Generator_(computer_programming),572997,26368,
Monad_(functional_programming),579061,63831,
Line_number,585536,5291,
Lava_flow_(programming),587106,1621,
Big_ball_of_mud,587165,6041,
Code_folding,592001,22721,
Brad_Templeton,596137,3838,
Indentation_(typesetting),605600,14930,
GNU_toolchain,617980,2214,
Single-serving_visitor_pattern,619114,5040,
Interface_(computing),620746,11031,
List_of_algorithm_general_topics,632487,1462,
Critical_section,638312,11839,
Free_Pascal,638429,28545,
Dangling_else,648096,7904,
Toolchain,648580,2549,
"Write_once,_run_anywhere",651278,4266,
Canadian_Computing_Competition,651328,2889,
Stack_trace,656411,3814,
Remote_evaluation,661763,1151,
First-class_citizen,662844,7185,
Persistent_data_structure,662889,17371,
Service-oriented_architecture,666924,32831,
Busy_waiting,671489,6766,
Method_stub,674329,4147,
Gary_Kremen,678198,12688,
Array_slicing,683334,23925,
Tag_soup,689619,15994,
Resource_acquisition_is_initialization,693532,14523,
Joy_(programming_language),696166,7156,
Robot_Odyssey,699453,8226,
Premature_optimization,700147,78,
Leszynski_naming_convention,710604,8110,
Numerical_tower,711485,2014,
Memoization,723483,29686,
Name_mangling,725961,33721,
ZThreads,735814,2680,
Thread_pool,764016,6560,
Software_framework,768211,10948,
Space–time_tradeoff,773481,4827,
Source_upgrade,775890,2378,
Orkut_Büyükkökten,789887,9438,
David_Megginson,790005,2697,
Håkon_Wium_Lie,793223,9209,
Head–body_pattern,796992,740,
Breakpoint,805802,8861,
Loop-invariant_code_motion,807357,2677,
Tridium,819774,3479,
Policy-based_design,826852,9072,
Reduction_(complexity),848067,12059,
Fundamental_pattern,855048,1423,
Creational_pattern,855055,8175,
Structural_pattern,855061,3363,
Behavioral_pattern,855067,3171,
Concurrency_pattern,855068,1840,
Dependency_hell,858993,17690,
Operator_(computer_programming),860030,19450,
Programming_Ruby,864240,2006,
The_Pragmatic_Programmer,864249,3249,
Data_access_object,866093,6312,
Robot_Battle,867311,5916,
Action_at_a_distance_(computer_programming),868838,4382,
CVAR,875919,1045,
Array_programming,890887,20060,
K_(programming_language),890956,10041,
Factor_(programming_language),891398,12318,
General-purpose_programming_language,891926,2219,
Design_by_committee,893718,5079,
Value-level_programming,896822,3011,
One-liner_program,898917,10463,
Function-level_programming,899026,5883,
Stack-oriented_programming_language,910837,12543,
Feature_interaction_problem,914700,5575,
Set_theoretic_programming,919670,1126,
British_Museum_algorithm,920295,2271,
Directive_(programming),930128,9541,
Signal_programming,934665,2002,
United_States_of_America_Computing_Olympiad,938717,5300,
Modular_programming,939133,12865,
God_object,946609,3086,
Skeleton_(computer_programming),954216,2986,
Live_coding,954290,16221,
Gabor_Herman,1002526,5028,
Double_dispatch,1010669,31047,
Mike_Pinkerton,1013974,3631,
Rollback_(data_management),1015240,2650,
Strong_key,1022842,1320,
Organic_computing,1024775,3816,
Role-oriented_programming,1030582,4245,
Tom_Miller_(computer_programmer),1032961,974,
Gary_Kimura,1033037,1777,
Theodore_Ts'o,1034724,7547,
Disjoint-set_data_structure,1037551,14555,
You_aren't_gonna_need_it,1041907,4385,
Blake_Ross,1047595,10976,
TypeParameter,1053659,1502,
Programming_game,1057551,7400,
Occurs_check,1063946,5397,
Brendan_Eich,1067455,14923,
Code_segment,1067537,2695,
Dietlibc,1076735,2310,
Dataflow_programming,1079396,15878,
Java_syntax,1079500,62155,
Louis_Rosenfeld,1084262,2919,
Ambiguous_viewpoint,1086076,1551,
Code_reuse,1086559,13070,
Fred_Fish,1086708,4751,
Parameterized_macro,1105705,1834,
Molly_Holzschlag,1115439,9156,
Automatic_programming,1118035,14156,
Invariant_(computer_science),1126643,7116,
Daily_build,1126769,2731,
Source_code_editor,1138015,4450,
Rael_Dornfest,1141957,2576,
Robert_Woodhead,1144931,4724,
Perl_6,1146638,43515,
Boo_(programming_language),1147624,5002,
Trabb_Pardo–Knuth_algorithm,1149596,3628,
Eric_Reiss,1157503,10200,
Maintenance_mode,1162620,1308,
Bob_Truel,1167492,2126,
Metatable,1168490,710,
Advice_(programming),1169621,7280,
Central_European_Olympiad_in_Informatics,1184043,6867,
Greenspun's_tenth_rule,1210851,4125,
Diomidis_Spinellis,1212157,3740,
Analysis_paralysis,1220869,19343,
Sequence_point,1230835,7982,
National_University_of_Computer_and_Emerging_Sciences,1237204,20598,
Ada_Conformity_Assessment_Test_Suite,1237355,2255,
Pipeline_(software),1241238,10226,
Non-maskable_interrupt,1250055,7262,
Flag_field,1250304,215,
Member_variable,1251223,2370,
Hard_coding,1257114,8031,
Valid_time,1258440,3662,
Transaction_time,1258450,1371,
Paul_Davis_(programmer),1261567,2412,
Private_class_data_pattern,1265481,6013,
Tantek_Çelik,1271987,8639,
P._J._Plauger,1274498,7093,
Development_speed,1287338,1468,
Nested_function,1290268,18417,
Software_quality,1301906,45124,
Function_prototype,1311431,5277,
Hotfix,1315081,5641,
Source_Code_Control_System,1332019,15974,
Publish–subscribe_pattern,1336424,12214,
Programmer's_key,1363924,1246,
JHTML,1366107,2624,
Rocky's_Boots,1366995,6181,
Monitor_(synchronization),1367789,67752,
Workspace,1375104,7344,
E_(programming_language),1377046,8725,
JDiff,1388571,804,
JSP_model_2_architecture,1389337,7018,
TORCS,1406931,7582,
Unreachable_code,1411635,8948,
Jesse_James_Garrett,1418352,7980,
Barton–Nackman_trick,1418679,5250,
String_interning,1423287,7641,
Coupling_(computer_programming),1425449,11144,
Here_document,1426425,30586,
Jon_Hall_(programmer),1438232,8801,
Scott_Draves,1443423,4041,
FreeBASIC,1443566,8579,
Extensible_programming,1445177,14317,
Bidiagonal_matrix,1451250,1942,
Block_reflector,1451352,1745,
Gotcha_(programming),1457709,2491,
GNU_coding_standards,1462203,6913,
Dependency_injection,1484696,43538,
Logic_error,1488075,1815,
Sigil_(computer_programming),1492125,12471,
Language-oriented_programming,1493235,2969,
Nick_Finck,1505529,1756,
Business_object,1538333,2219,
Hex_dump,1548281,7722,
Medical_algorithm,1551981,5698,
SUnit,1564815,1015,
Johnny_Stenbäck,1569598,1355,
Sir_Dystic,1576401,5585,
Rename_method,1579485,1899,
Quentin_Stafford-Fraser,1581678,4749,
Matt_Mullenweg,1585314,22335,
Christien_Rioux,1587228,4803,
Inversion_of_control,1589554,12363,
PowerBuilder,1611118,19888,
Xavier_Leroy,1623543,3440,
Actor_model,1637868,63061,
Loose_coupling,1639470,9497,
Continuous_obsolescence,1641133,2142,
Refinement_(computing),1644367,4647,
Thread-local_storage,1649638,14887,
Timeout_(computing),1657639,3047,
Tom_Pepper,1692099,2184,
Intrinsic_function,1695405,6068,
Interactive_programming,1699983,3218,
Roy_Fielding,1709217,8073,
Tristan_Louis,1711113,7156,
TiK,1726574,1238,
Field_encapsulation,1727391,3844,
"Write_once,_compile_anywhere",1729790,1876,
Double-chance_function,1749773,4088,
Object-based_language,1759766,4050,
Git,1771747,53227,
Gutmann_method,1773852,13850,
Poltergeist_(computer_programming),1777061,2030,
Input_kludge,1781615,1328,
Scott_R._Lemmon,1783821,1367,
Programming_in_the_large_and_programming_in_the_small,1800329,6327,
Inner_loop,1819659,670,
Services_computing,1820849,1660,
Nassi–Shneiderman_diagram,1834450,7337,
StankDawg,1834679,22454,
External_memory_algorithm,1881722,7166,
TRON_command,1889606,1522,
Gary_Drescher,1895100,4424,
Opaque_predicate,1898450,986,
Software_rot,1906495,8756,
Literal_(computer_programming),1908624,3223,
Handle_leak,1914534,1873,
Naming_convention_(programming),1926443,28264,
Creeping_elegance,1932039,827,
Extension_conflict,1938220,3773,
Relocation_(computing),1938963,11912,
Randall_Hyde,1939548,5505,
CosmicOS,1946447,1405,
Dive_Into_Python,2003901,240,
Stackless_Python,2009536,5581,
Pkg-config,2044313,4191,
ThinBasic,2046810,14508,
Coding_by_exception,2054964,1005,
The_Elements_of_Programming_Style,2076194,5872,
Component-integrated_ACE_ORB,2084197,1674,
Cowboy_coding,2088387,6087,
Hazard_pointer,2098082,5410,
Multi-adjoint_logic_programming,2099529,1658,
Attribute-oriented_programming,2099600,4704,
Codebase,2111762,6649,
Quantum_programming,2137644,16854,
Ian_Jackson,2158869,3480,
OpenPlay,2182068,2246,
GeneXus,2204125,4792,
Preemption_(computing),2204566,9374,
Java_API_for_XML-based_RPC,2208579,2219,
Join_Java,2225745,5903,
C_Traps_and_Pitfalls,2225997,2154,
Smoke_and_mirrors,2237812,1807,
Stagecast_Creator,2241788,5893,
Parallel_programming_model,2242375,10673,
Mock_object,2250059,12553,
The_Code_Room,2256261,2927,
The_Unix_Programming_Environment,2273418,4880,
British_Informatics_Olympiad,2274463,2168,
Dave_Haynie,2276788,3942,
Uniform_access_principle,2278914,11167,
Turbo_Vision,2281828,5454,
Goal_seeking,2286714,2232,
Server_Application_Programming_Interface,2287409,2551,
Crobots,2306103,3873,
Profiling_(computer_programming),2310080,15747,
Intentional_programming,2311014,13461,
Language_construct,2340218,1294,
Zero-copy,2342552,4643,
C_Sharp_(programming_language),2356196,58507,
Caml,2362118,8238,
MySQL_Connector/ODBC,2376787,1075,
Capacity_optimization,2380971,2449,
Static_build,2401146,3964,
Self-documenting_code,2418555,3088,
Thinking_in_Java,2457823,2517,
Improbability_factor,2465822,798,
Overlapped_I/O,2489030,1840,
Filter_(software),2538139,6405,
Darwin_(programming_game),2540811,4096,
FuseDocs_(programming),2557724,960,
Opaque_pointer,2570200,9299,
Concurrent_computing,2581605,26269,
Single_responsibility_principle,2584592,3905,
Stu_Megan,2594834,4544,
Colobot,2606642,5347,
Exception_chaining,2609775,2006,
John_Socha,2620426,4705,
Keyword_(computer_programming),2633995,105,
Autoload,2641410,2487,
Magic_(programming),2641649,7713,
Carnage_Heart,2645793,7980,
Why_the_lucky_stiff,2648440,14943,
Static_library,2692227,5450,
Blind_write,2694608,620,
Dynamic-link_library,2701077,29036,
Code_bloat,2707448,3422,
Progress_trap,2722794,9482,
Software_craftsmanship,2724842,7582,
Control_Structure_Diagram,2760015,817,
Scott_Yanoff,2774271,3238,
Stream_processing,2786727,34265,
Software_build,2788153,3856,
Object_orgy,2795762,3719,
Squirrel_(programming_language),2819069,8147,
Stalin_(Scheme_implementation),2828643,2560,
JSP_model_1_architecture,2830704,1656,
Object_pool_pattern,2840375,16441,
Hyphenation_algorithm,2842189,5517,
Protothread,2853187,3250,
XL_(programming_language),2855241,14891,
Higher-order_programming,2855963,2291,
Type_generalization,2874679,1422,
Concept_programming,2875061,5496,
Optimum_programming,2876020,2273,
Load-link/store-conditional,2882985,9122,
Active_record_pattern,2885246,13785,
Resource_construction_set,2902599,6899,
Tombstone_(programming),2923260,2520,
Locks-and-keys,2923328,1247,
Context-sensitive_help,2928865,1691,
Google_Summer_of_Code,2929543,30033,
Term_indexing,2930391,4919,
Run-time_algorithm_specialisation,2935699,6420,
Sutton's_law,2949345,2766,
Hooking,2953077,23055,
Code_page_936_(Microsoft_Windows),2955551,4154,
Whitespace_character,2956700,18187,
Spelling_suggestion,2958346,1046,
Forward_declaration,2959937,8015,
Kernel_Normal_Form,2965083,1897,
South_African_Computer_Olympiad,2979898,7115,
Code_page_950,2988645,2782,
Hiroshi_Ishii_(computer_scientist),2996441,2133,
ICFP_Programming_Contest,2997987,13669,
Language_binding,3002110,5203,
Minification_(programming),3014865,6329,
Data-driven_programming,3055207,6827,
Software_visualization,3070397,10488,
Why's_(poignant)_Guide_to_Ruby,3073557,2479,
Explicit_parallelism,3095332,1537,
Call_super,3111337,5673,
Workflow_pattern,3114382,12903,
Sentinel_node,3123459,4302,
Damien_Doligez,3126051,630,
Ryo_Kawasaki,3130298,21619,
Generation_gap_(pattern),3158152,1438,
Dependency_inversion_principle,3158597,18914,
Program-specific_information,3167892,24924,
Rpath,3200164,9517,
Syntax_(programming_languages),3206060,17137,
Computer_network_programming,3224769,2567,
GNU_Pascal,3227186,4362,
Dejan_Ristanović,3234218,2882,
Precompiled_header,3250351,6060,
Scala_(programming_language),3254510,88083,
Tony_Tebby,3255273,3089,
Pyrex_(programming_language),3274540,3855,
Tweak_programming_environment,3286149,1520,
Don't_repeat_yourself,3291957,4364,
Softcoding,3342347,3807,
Prospective_search,3345817,2267,
OmniMark,3375679,2508,
Automata-based_programming,3377755,22321,
Validator,3388205,1749,
APL_syntax_and_symbols,3406314,54075,
PC²,3418798,6590,
Hand_coding,3420503,3175,
Multiton_pattern,3430776,4832,
Tea_(programming_language),3431871,3153,
Structured_text,3432584,4399,
PCLSRing,3445364,5315,
Workflow_Open_Service_Interface_Definition,3457017,1727,
Logging_Open_Service_Interface_Definition,3460049,1086,
AlphaBasic,3555159,3269,
Randomization_function,3578575,3325,
Heisenbug,3590233,12319,
Dynamic_linker,3600079,10878,
Exception_handling_syntax,3624756,31160,
Toad_(software),3640379,6199,
Dynamization,3641207,3191,
GNUstep_Renaissance,3649940,2822,
Application_directory,3668017,5570,
Implicit_data_structure,3669635,9990,
Citrus_Project,3675986,1451,
Dave_Thomas_(programmer),3686327,3801,
Prefactoring,3688051,1184,
Kata_(programming),3697624,1730,
Program_comprehension,3733920,1604,
Galaksija_BASIC,3743155,5353,
Tagged_pointer,3755562,9721,
Tim_Howes,3781545,8206,
J/Direct,3820941,3532,
Redundant_code,3822016,2861,
JavaScript_syntax,3824186,78047,
Paul_Maritz,3824630,9613,
S-PLUS,3830007,3874,
Duplicate_code,3875705,8821,
Taint_checking,3906986,5648,
Deutsch_limit,3919573,4420,
Code_morphing,3931871,2169,
Rake_(software),3943873,5244,
Path_expression,3975986,1938,
MicroMUSE,3997515,7732,
Ordinal_data_type,3999009,1032,
Virtual_Execution_System,4012878,1045,
Turbo_Modula-2,4018640,1791,
Garbage_(computer_science),4035183,7868,
Recursion_(computer_science),4044867,51502,
Programming_model,4045128,2512,
Bruce_Ellis,4068631,2224,
Source_code_escrow,4070102,13703,
ToonTalk,4070265,11559,
Monkey_patch,4080119,4684,
Identity_transform,4081099,8104,
Aleksandar_Totic,4087212,571,
QuickWin,4100584,709,
How_to_Solve_it_by_Computer,4104986,1929,
FSU_Pthreads,4106162,963,
Sun_Java_Wireless_Toolkit,4107557,1893,
Netfrastructure,4113994,702,
Psychology_of_programming,4119246,3584,
Sam_Ruby,4133175,8483,
Invariant-based_programming,4160992,2246,
Dan_Maynes-Aminzade,4162475,5425,
Gervase_Markham_(programmer),4173471,2840,
Readers–writer_lock,4186235,12599,
Docstring,4225907,6922,
Interaction_design_pattern,4271289,11011,
Data_transfer_object,4308348,2472,
Append,4334924,6195,
PortAudio,4338159,2667,
PortMedia,4338281,876,
PortMidi,4338718,578,
Naming_collision,4379385,2324,
Earl_Levine,4388585,1143,
Bigloo,4397434,3174,
Agda_(programming_language),4426773,9452,
Adaptive_k-d_tree,4436211,554,
Auto-lead_Data_Format,4436896,2099,
SLIP_(programming_language),4449554,1893,
Database_tuning,4452966,5102,
GNU_Binutils,4464311,4018,
Concurrent_constraint_logic_programming,4467477,10596,
Plugpoint,4479139,1042,
Probe_effect,4515786,1798,
X-PLOR,4566237,1701,
Brace_notation,4567840,6518,
RoboWar,4594213,3797,
Fail-fast,4611484,4406,
Glue_code,4624733,2541,
Guard_byte,4633863,3203,
Inferential_programming,4643913,1507,
Underhanded_C_Contest,4653992,7101,
Input_mask,4659608,1502,
Bird–Meertens_formalism,4692157,5861,
Debug_menu,4714149,2240,
^txt2regex$,4739806,2398,
Little_b_(programming_language),4740151,2463,
Platform-independent_GUI_library,4755005,6575,
List_of_platform-independent_GUI_libraries,4778188,7258,
Signature_program,4798195,5225,
Curiously_recurring_template_pattern,4819306,12439,
Éric_Wenger,4831960,3711,
Gnits_standards,4870833,2062,
Fill_character,4880018,2289,
GRASP_(object-oriented_design),4907231,8099,
Convenience_function,5020729,977,
Bob_Sabiston,5095261,5232,
DLL_injection,5140924,16372,
Tacit_programming,5158722,6146,
Python_syntax_and_semantics,5250192,51480,
Error_hiding,5272519,6849,
Presentation–abstraction–control,5274765,6990,
Architectural_pattern,5277267,9093,
Cabal_(software),5364865,6138,
Open/closed_principle,5404610,5295,
Garry_Kitchen,5414075,5465,
Active_object,5418496,5430,
FUnit,5418531,343,
Gottfrid_Svartholm,5419153,15425,
Distributed_design_patterns,5474056,1045,
Core_common_area,5481214,601,
Rob_Savoye,5497676,2170,
X86_debug_register,5519427,3977,
Java_4K_Game_Programming_Contest,5540432,24285,
Best_coding_practices,5548053,28189,
Refined_Printing_Command_Stream,5583861,1610,
Cooperative_multitasking,5614270,3717,
Boilerplate_code,5622243,8515,
Conditional_operator,5647807,785,
Dry_run_(testing),5664562,1144,
Flow-based_programming,5689970,32916,
Instruction_step,5713883,2718,
Cheat_sheet,5733800,2809,
Napier88,5748470,4380,
OpenGrok,5768711,2960,
Initialization-on-demand_holder_idiom,5799372,3452,
Sequential_coupling,5842415,1028,
MKS_Toolkit,5844874,5555,
IC_programming,5876226,866,
SimGear,5888617,1163,
Compressed_file_library,5920617,1684,
Snippet_(programming),5947150,12798,
Persistence_(computer_science),6025550,6840,
Reversion_(software_development),6064181,1379,
Swap_(computer_programming),6067549,7303,
Alex_Martelli,6073784,3156,
Visual_Basic,6097382,33754,
Data-directed_programming,6102626,741,
Matt_Lebofsky,6122598,3085,
Scaffold_(programming),6210017,5916,
Provider_model,6213806,1829,
MetaEdit+,6221262,4616,
Programming_by_permutation,6277284,4811,
Outline_of_computer_programming,6301802,16256,
Naa_Govindasamy,6305303,2504,
Cal_Henderson,6332877,4254,
Turbo_Delphi,6338910,3261,
Luca_Pagano,6391384,11008,
Macro_instruction,6427906,5464,
Deductive_language,6477222,5220,
Visual_Eiffel,6481784,1273,
XStream,6518252,3570,
Dump_analyzer,6532515,767,
Adam_Goldstein_(author),6587457,1622,
System_time,6613070,27602,
Performance_engineering,6615610,14275,
Crystallography_and_NMR_system,6707538,1712,
Crt0,6727540,3300,
Indian_Computing_Olympiad,6743441,3306,
Visual_guide,6767443,1806,
Graceful_exit,6774591,4526,
Programming_idiom,6775751,2626,
End-user_development,6795600,27105,
Norton_Guides,6869913,1182,
ChipWits,6870355,2679,
Algorithm_characterizations,6901703,72336,
DX_Studio,6945368,6524,
Instruction_creep,6979831,2409,
Eugene_Nalimov,6997206,1487,
Binary-safe,7031297,1714,
Adrian_Holovaty,7052260,5961,
